"","param","conf_lower","conf_upper","method","estimate","species","trait"
"188","topt",21.8564021404627,21.9980558276075,"residual bootstrap",21.923,"Antestiopsis thunbergii","fecundity rate"
"189","ctmin",5.80305096226439,7.58738041617208,"residual bootstrap",6.861,"Antestiopsis thunbergii","fecundity rate"
"190","ctmax",27.7258860008328,28.1360790544999,"residual bootstrap",27.913,"Antestiopsis thunbergii","fecundity rate"
"191","thermal_safety_margin",5.72869072159396,6.26822421293499,"residual bootstrap",5.99,"Antestiopsis thunbergii","fecundity rate"
"192","thermal_tolerance",20.4062947999118,22.0150093561216,"residual bootstrap",21.052,"Antestiopsis thunbergii","fecundity rate"
"193","breadth",3.50015436792979,3.66113660349678,"residual bootstrap",3.573,"Antestiopsis thunbergii","fecundity rate"
"194","r_tref",0.605964433434895,0.678673767180077,"residual bootstrap",0.63055027855113,"Antestiopsis thunbergii","fecundity rate"
"195","e",1.40990118928063,1.62378618793449,"residual bootstrap",1.52695116021405,"Antestiopsis thunbergii","fecundity rate"
"196","eh",7.07387651665133,7.5535167128918,"residual bootstrap",7.35166354223207,"Antestiopsis thunbergii","fecundity rate"
"197","rmax",0.608506796135814,0.889659580495391,"residual bootstrap",0.751680400676057,"Monochamus leuconotus","fecundity rate"
"198","topt",22.1462948908398,26.790496315587,"residual bootstrap",23.915,"Monochamus leuconotus","fecundity rate"
"199","ctmin",2.11330678658986,15.956845977521,"residual bootstrap",11.578,"Monochamus leuconotus","fecundity rate"
"200","ctmax",35.1742572613583,71.8401224686295,"residual bootstrap",42.293,"Monochamus leuconotus","fecundity rate"
"201","thermal_safety_margin",9.4395688771279,46.0147196214995,"residual bootstrap",18.378,"Monochamus leuconotus","fecundity rate"
"202","thermal_tolerance",24.1898436983472,57.4357141398763,"residual bootstrap",30.715,"Monochamus leuconotus","fecundity rate"
"203","breadth",4.29960052453937,7.34713367506023,"residual bootstrap",5.606,"Monochamus leuconotus","fecundity rate"
"204","r_tref",0.0295266128024886,0.243287752921103,"residual bootstrap",0.115183432579145,"Monochamus leuconotus","fecundity rate"
"205","e",1.0980231434048,5.79613349698408,"residual bootstrap",2.31068399817198,"Monochamus leuconotus","fecundity rate"
"206","eh",2.61694708733775,4.62073818534283,"residual bootstrap",3.85206282324553,"Monochamus leuconotus","fecundity rate"
"207","rmax",23.9892002840512,32.8153232753237,"residual bootstrap",26.7572304960596,"Paracoccus marginatus","fecundity rate"
"208","topt",23.3407808023551,28.2089252569486,"residual bootstrap",24.563,"Paracoccus marginatus","fecundity rate"
"209","ctmin",9.08159800711414,16.0952501927708,"residual bootstrap",13.055,"Paracoccus marginatus","fecundity rate"
"210","ctmax",30.635352792308,36.3472949945713,"residual bootstrap",34.056,"Paracoccus marginatus","fecundity rate"
"211","thermal_safety_margin",2.359,12.4184622727791,"residual bootstrap",9.49299999999999,"Paracoccus marginatus","fecundity rate"
"212","thermal_tolerance",18.2422111346022,24.02,"residual bootstrap",21.001,"Paracoccus marginatus","fecundity rate"
"213","breadth",3.79625737639948,4.494,"residual bootstrap",4.036,"Paracoccus marginatus","fecundity rate"
"214","r_tref",0.886523279187475,4.31041092124006,"residual bootstrap",2.45106869588807,"Paracoccus marginatus","fecundity rate"
"215","e",1.38741848724512,4.086420562895,"residual bootstrap",2.25774357948471,"Paracoccus marginatus","fecundity rate"
"216","eh",4.64677114283283,6.33583111550575,"residual bootstrap",5.49237618066728,"Paracoccus marginatus","fecundity rate"
"217","rmax",0.694284646604869,0.73611389740648,"residual bootstrap",0.709608727867827,"Kampimodromus aberrans","fecundity rate"
"218","topt",27.4011397918485,27.8490928513258,"residual bootstrap",27.653,"Kampimodromus aberrans","fecundity rate"
"219","ctmin",-7.80732048284495,-3.302949645227,"residual bootstrap",-5.355,"Kampimodromus aberrans","fecundity rate"
"220","ctmax",33.296271318298,34.2632983576275,"residual bootstrap",33.733,"Kampimodromus aberrans","fecundity rate"
"221","thermal_safety_margin",5.50055348870163,6.88200000000001,"residual bootstrap",6.08000000000001,"Kampimodromus aberrans","fecundity rate"
"222","thermal_tolerance",37.2933438363765,41.7189810881965,"residual bootstrap",39.088,"Kampimodromus aberrans","fecundity rate"
"223","breadth",5.28427505110977,6.08228631664789,"residual bootstrap",5.622,"Kampimodromus aberrans","fecundity rate"
"224","r_tref",0.241002659618997,0.276412880750031,"residual bootstrap",0.257673725900916,"Kampimodromus aberrans","fecundity rate"
"225","e",0.591689090167103,0.705232470335627,"residual bootstrap",0.649582875411673,"Kampimodromus aberrans","fecundity rate"
"226","eh",6.93807547930995,8.79305982867031,"residual bootstrap",7.79199518241552,"Kampimodromus aberrans","fecundity rate"
"227","rmax",10.2351826778609,14.8079492814025,"residual bootstrap",12.4816700977239,"Phenacoccus solenopsis","fecundity rate"
"228","topt",28.0333665883107,31.1591650457526,"residual bootstrap",29.112,"Phenacoccus solenopsis","fecundity rate"
"229","ctmin",-1.251,17.4986036360752,"residual bootstrap",12.435,"Phenacoccus solenopsis","fecundity rate"
"230","ctmax",34.9201046695562,45.8087013790791,"residual bootstrap",37.558,"Phenacoccus solenopsis","fecundity rate"
"231","thermal_safety_margin",4.4248006497138,17.0347483219762,"residual bootstrap",8.446,"Phenacoccus solenopsis","fecundity rate"
"232","thermal_tolerance",19.9566098748555,37.358,"residual bootstrap",25.123,"Phenacoccus solenopsis","fecundity rate"
"233","breadth",3.68249205283462,6.235,"residual bootstrap",4.479,"Phenacoccus solenopsis","fecundity rate"
"234","r_tref",0.246889504174375,2.95689882363475,"residual bootstrap",1.06205513354109,"Phenacoccus solenopsis","fecundity rate"
"235","e",0.826455071365312,2.82843494949411,"residual bootstrap",1.47250212468726,"Phenacoccus solenopsis","fecundity rate"
"236","eh",3.86125813650277,8.74460328117381,"residual bootstrap",5.62129925662262,"Phenacoccus solenopsis","fecundity rate"
"237","rmax",5.86225876427594,9.56800055362017,"residual bootstrap",7.57969400102064,"Halyomorpha halys","fecundity rate"
"238","topt",24.9916091838252,29.7815056234248,"residual bootstrap",27.185,"Halyomorpha halys","fecundity rate"
