"","param","conf_lower","conf_upper","method","estimate","species","trait"
"138","r_tref",150.481521444435,309.759838100515,"residual bootstrap",199.802076013318,"Anthonomus grandis","juvenile mortality rate"
"139","e",2.69620115991669,4.33105728344287,"residual bootstrap",3.52535721807096,"Anthonomus grandis","juvenile mortality rate"
"140","eh",3.48028401584682,5.0284756377127,"residual bootstrap",4.20080383301845,"Anthonomus grandis","juvenile mortality rate"
"141","rmax",371.387627768017,514.347595265327,"residual bootstrap",433.952801328991,"Laricobius nigrinus","juvenile mortality rate"
"142","topt",9.00797394234981,10.9167147876045,"residual bootstrap",10.169,"Laricobius nigrinus","juvenile mortality rate"
"143","ctmin",2.991,5.289,"residual bootstrap",4.563,"Laricobius nigrinus","juvenile mortality rate"
"144","ctmax",30.4546548229621,55.427,"residual bootstrap",36.258,"Laricobius nigrinus","juvenile mortality rate"
"145","thermal_safety_margin",19.5371860480502,46.264,"residual bootstrap",26.089,"Laricobius nigrinus","juvenile mortality rate"
"146","thermal_tolerance",25.9335749730841,50.509,"residual bootstrap",31.695,"Laricobius nigrinus","juvenile mortality rate"
"147","breadth",3.83901977547668,5.61941512538308,"residual bootstrap",4.362,"Laricobius nigrinus","juvenile mortality rate"
"148","r_tref",29833.7680429133,22791477.0202051,"residual bootstrap",214759.142499664,"Laricobius nigrinus","juvenile mortality rate"
"149","e",3.6637062385208,8.82893118648554,"residual bootstrap",6.06808742513569,"Laricobius nigrinus","juvenile mortality rate"
"150","eh",4.97430179394261,9.44558316186141,"residual bootstrap",6.97666867000714,"Laricobius nigrinus","juvenile mortality rate"
"151","rmax",430.274584614594,645.52742993167,"residual bootstrap",547.533504532074,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"152","topt",16.0548432163623,16.621,"residual bootstrap",16.32,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"153","ctmin",14.2786577077473,14.7395678050616,"residual bootstrap",14.593,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"154","ctmax",31.396,41.5553326601833,"residual bootstrap",37.074,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"155","thermal_safety_margin",15.255,25.2502125037833,"residual bootstrap",20.754,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"156","thermal_tolerance",16.743,26.9525949498747,"residual bootstrap",22.481,"Aubeonymus mariaefranciscae","juvenile mortality rate"
