curve_ID,species,standardisedtraitname,temp,z,zLwr,zUpr
5,Antestiopsis thunbergii,z,13.873873873873872,0.6049525857232283,992.722672285816,0.04312157263211667
5,Antestiopsis thunbergii,z,13.918918918918918,0.5793484019709607,878.3888460228837,0.04272721158636304
5,Antestiopsis thunbergii,z,13.963963963963963,0.5548471534994539,777.2530130371211,0.042259935651622116
5,Antestiopsis thunbergii,z,14.009009009009008,0.5314010788996484,687.7882401747029,0.0417689569324221
5,Antestiopsis thunbergii,z,14.054054054054053,0.5089644993514444,608.644648915767,0.041285079600524695
5,Antestiopsis thunbergii,z,14.099099099099098,0.4874937272123138,538.6288391453602,0.04080820882440378
5,Antestiopsis thunbergii,z,14.144144144144143,0.4669469786443052,476.685709501352,0.0403574277891823
5,Antestiopsis thunbergii,z,14.189189189189188,0.44728429010057247,421.8823945449712,0.039993780985008734
5,Antestiopsis thunbergii,z,14.234234234234233,0.4284674384992406,373.6218131861168,0.039633346316729365
5,Antestiopsis thunbergii,z,14.279279279279278,0.41045986492124187,331.11311459586375,0.0391826845160436
5,Antestiopsis thunbergii,z,14.324324324324323,0.39322660167508,293.45198251023066,0.03873846696023773
5,Antestiopsis thunbergii,z,14.369369369369368,0.3767342025794779,260.0843540010345,0.03830060934619191
5,Antestiopsis thunbergii,z,14.414414414414413,0.36095067632051653,230.51963784953796,0.03786902856192649
5,Antestiopsis thunbergii,z,14.45945945945946,0.345845422747123,204.32342697059931,0.03744364266985369
5,Antestiopsis thunbergii,z,14.504504504504505,0.3313891719745024,181.11104945429992,0.03702437089027535
5,Antestiopsis thunbergii,z,14.54954954954955,0.31755392617058376,160.5418615039584,0.03661113358511227
5,Antestiopsis thunbergii,z,14.594594594594595,0.30431290390712973,142.3141967311561,0.03620385224188097
5,Antestiopsis thunbergii,z,14.63963963963964,0.29164048696101846,126.1608961508801,0.03580244945789069
5,Antestiopsis thunbergii,z,14.684684684684685,0.27951216945790275,111.84535196243715,0.03540684892468192
5,Antestiopsis thunbergii,z,14.72972972972973,0.2679045092536871,99.15800592755691,0.0350169754126793
5,Antestiopsis thunbergii,z,14.774774774774775,0.2567950814553457,87.91324999267569,0.03463275475607616
5,Antestiopsis thunbergii,z,14.81981981981982,0.24616243398585716,77.9466828437392,0.034254113837931845
5,Antestiopsis thunbergii,z,14.864864864864865,0.2359860451031365,69.10449320001015,0.03388098057549095
5,Antestiopsis thunbergii,z,14.90990990990991,0.22624628278607567,60.82869166977871,0.033513283905707174
5,Antestiopsis thunbergii,z,14.954954954954955,0.21692436590562122,53.53887335886624,0.03314992759389325
5,Antestiopsis thunbergii,z,15,0.20800232710130429,47.12651253964602,0.0327690658775877
5,Antestiopsis thunbergii,z,15.045045045045045,0.19946297728841547,41.7245420427485,0.03239445693121427
5,Antestiopsis thunbergii,z,15.09009009009009,0.19128987172330061,36.94320571837898,0.03202600989011218
5,Antestiopsis thunbergii,z,15.135135135135135,0.1834672775580939,32.69187205051075,0.031663635307696704
5,Antestiopsis thunbergii,z,15.18018018018018,0.17598014281919852,28.782943291171204,0.0313072451333103
