,temp,species,estimate,rmax_upr,rmax_lwr,ksmallestimate,ksmallrmax_upr,ksmallrmax_lwr
73,14.82828283,Anthonomus grandis,0.042795232,0.054606319,0.02225047,0.031040153,0.040202051,0.009764034
74,15.11111111,Anthonomus grandis,0.044287815,0.054736128,0.026812211,0.032035081,0.038641218,0.014475367
75,15.39393939,Anthonomus grandis,0.045622484,0.053251149,0.028701774,0.032937299,0.035225297,0.01600356
76,15.67676768,Anthonomus grandis,0.04692957,0.053675596,0.030427627,0.033879278,0.035230023,0.017245057
77,15.95959596,Anthonomus grandis,0.04825517,0.054702872,0.032077216,0.034890149,0.036218609,0.018591056
78,16.24242424,Anthonomus grandis,0.049614306,0.055891368,0.033591723,0.035967683,0.03698248,0.019833396
79,16.52525253,Anthonomus grandis,0.051011209,0.057359867,0.035221368,0.037103499,0.03831613,0.021143905
80,16.80808081,Anthonomus grandis,0.052446695,0.058578927,0.036886057,0.038290292,0.039578911,0.022484535
81,17.09090909,Anthonomus grandis,0.053920737,0.059841713,0.038604351,0.039523129,0.040908787,0.023819929
82,17.37373737,Anthonomus grandis,0.055433288,0.061064085,0.04036521,0.040799108,0.04226,0.025228762
83,17.65656566,Anthonomus grandis,0.056984506,0.062533573,0.042216532,0.04211677,0.043693143,0.026615508
84,17.93939394,Anthonomus grandis,0.058574762,0.063921426,0.044101423,0.043475603,0.045095878,0.028078372
85,18.22222222,Anthonomus grandis,0.060204614,0.065384353,0.046103719,0.044875702,0.046730817,0.02967884
86,18.50505051,Anthonomus grandis,0.061874754,0.066925751,0.048008432,0.046317546,0.04847047,0.031238098
87,18.78787879,Anthonomus grandis,0.063585972,0.068505222,0.050006952,0.047801854,0.05011051,0.032829774
88,19.07070707,Anthonomus grandis,0.065339133,0.070135137,0.052071077,0.049329503,0.051545309,0.034533943
89,19.35353535,Anthonomus grandis,0.067135148,0.071791571,0.054309827,0.05090147,0.053364164,0.036333067
90,19.63636364,Anthonomus grandis,0.068974966,0.073573165,0.056523648,0.052518801,0.054997902,0.038130766
91,19.91919192,Anthonomus grandis,0.070859559,0.075219951,0.058543329,0.054182588,0.056848837,0.039988654
92,20.2020202,Anthonomus grandis,0.072789912,0.077066771,0.060615771,0.055893958,0.058377659,0.041590672
93,20.48484848,Anthonomus grandis,0.074767019,0.07895785,0.062819873,0.057654056,0.060107991,0.043298763
94,20.76767677,Anthonomus grandis,0.07679187,0.080754497,0.065221937,0.059464044,0.061711929,0.045119105
95,21.05050505,Anthonomus grandis,0.078865443,0.08273763,0.067647589,0.061325086,0.063572805,0.047140473
96,21.33333333,Anthonomus grandis,0.080988692,0.084676422,0.070022796,0.063238339,0.065364615,0.049384215
97,21.61616162,Anthonomus grandis,0.083162531,0.086536857,0.072398365,0.065204944,0.067309243,0.051837136
98,21.8989899,Anthonomus grandis,0.085387817,0.088623579,0.075020419,0.067226008,0.069394427,0.054311868
99,22.18181818,Anthonomus grandis,0.087665325,0.090817332,0.077566785,0.069302585,0.071441483,0.056833486
